bw,loss,delay_c2_ms,udp_off_mean,iter,md5_hash_1,md5_hash_2,ttc1,ttc2,size1_bytes,size2_bytes,thr1_mbps,thr2_mbps,link_util,jfi 
100,0,5,None,0,67d9ea16a7ca6be5ba14a8def4dd8473,67d9ea16a7ca6be5ba14a8def4dd8473,13.367818,12.039565,32317690,32317690,19.340592,21.474323,0.408149,0.997274
200,0,5,None,0,67d9ea16a7ca6be5ba14a8def4dd8473,67d9ea16a7ca6be5ba14a8def4dd8473,8.420579,9.576267,32317690,32317690,30.703533,26.998154,0.288508,0.995893
300,0,5,None,0,67d9ea16a7ca6be5ba14a8def4dd8473,67d9ea16a7ca6be5ba14a8def4dd8473,11.443461,9.913636,32317690,32317690,22.592949,26.079383,0.162241,0.994895
400,0,5,None,0,67d9ea16a7ca6be5ba14a8def4dd8473,67d9ea16a7ca6be5ba14a8def4dd8473,8.302139,8.777103,32317690,32317690,31.141556,29.456360,0.151495,0.999227
500,0,5,None,0,67d9ea16a7ca6be5ba14a8def4dd8473,67d9ea16a7ca6be5ba14a8def4dd8473,12.486998,12.482098,32317690,32317690,20.704857,20.712985,0.082836,1.000000
600,0,5,None,0,67d9ea16a7ca6be5ba14a8def4dd8473,67d9ea16a7ca6be5ba14a8def4dd8473,9.830426,13.195921,32317690,32317690,26.300133,19.592533,0.076488,0.979085
700,0,5,None,0,67d9ea16a7ca6be5ba14a8def4dd8473,67d9ea16a7ca6be5ba14a8def4dd8473,12.594773,9.781407,32317690,32317690,20.527684,26.431937,0.067085,0.984438
800,0,5,None,0,67d9ea16a7ca6be5ba14a8def4dd8473,67d9ea16a7ca6be5ba14a8def4dd8473,9.664954,12.176735,32317690,32317690,26.750413,21.232418,0.059979,0.986948
900,0,5,None,0,67d9ea16a7ca6be5ba14a8def4dd8473,67d9ea16a7ca6be5ba14a8def4dd8473,10.926043,18.328583,32317690,32317690,23.662869,14.105920,0.041965,0.939825
1000,0,5,None,0,67d9ea16a7ca6be5ba14a8def4dd8473,67d9ea16a7ca6be5ba14a8def4dd8473,9.197883,9.239848,32317690,32317690,28.108808,27.981145,0.056090,0.999995
